qid,label,cluster
55983,азарт,Азарт и результаты
55983,актианость,Проявление активности и развитие
55983,активность,Проявление активности и развитие
55983,проявление активности,Проявление активности и развитие
55983,быть в команде,Совместные усилия и цель
55983,желание быть с командой,Совместные усилия и цель
55983,команда,Совместные усилия и цель
55983,вдохновение,Идеи и мотивация к успеху
55983,воодушевление,Идеи и мотивация к успеху
55983,взаимоподдержка,Участие и взаимодействие
55983,внимание,Нравственные ценности и цели
55983,внимание к содержанию: что,Нравственные ценности и цели
55983,говорит,Совместные усилия и цель
55983,горящие глаза,Работа и поиск решений
55983,готовность к ответственности,Высокие риски и ответственность
55983,действовать вместе,Совместные усилия и цель
55983,деньги,Финансы и кадры
55983,доверие,Участие и взаимодействие
55983,единый морально нравственный у,Нравственные ценности и цели
55983,желание,Достижение целей и желания
55983,желание,Достижение целей и желания
55983,желание делать,Достижение целей и желания
55983,желание позновать новое,Познание и преодоление проблем
55983,желание пробовать новое,Познание и преодоление проблем
55983,заинтересованность в результат,Азарт и результаты
55983,знание задачи,Разбор сложных задач
55983,идейность,Идеи и мотивация к успеху
55983,инициативность,Идеи и мотивация к успеху
55983,инициатива,Идеи и мотивация к успеху
55983,участие  интерес инициатива,Азарт и результаты
55983,интерес,Азарт и результаты
55983,интерес,Азарт и результаты
55983,интерес к делу,Азарт и результаты
55983,интерес к тому  что делаешь,Азарт и результаты
55983,заинтересованность,Азарт и результаты
55983,интерес и драйв в деятельности,Азарт и результаты
55983,интерес кайф азарт,Азарт и результаты
55983,интерес познавать/развиваться,Азарт и результаты
55983,исполнительность,Проявление активности и развитие
55983,когда в данный момент мысли,Личные моменты и преданность
55983,командная нацеленность,Совместные усилия и цель
55983,лояльность,Участие и взаимодействие
55983,лояльность к компании,Участие и взаимодействие
55983,любовь к своему делу,Личные моменты и преданность
55983,любовькделу,Достижение целей и желания
55983,мотивация,Идеи и мотивация к успеху
55983,мотивация,Идеи и мотивация к успеху
55983,мотивация на успех,Идеи и мотивация к успеху
55983,желание достичь результата,Достижение целей и желания
55983,заряженность на результат,Человеческий фактор и решения
55983,нацеленность на результат,Нравственные ценности и цели
55983,неравнодушие,Уважение и сочувствие
55983,неравнодушие,Уважение и сочувствие
55983,обратная связь от руковолителя,Высокие риски и ответственность
55983,общая цель,Нравственные ценности и цели
55983,общий интерес,Азарт и результаты
55983,остается,Совместные усилия и цель
55983,ответственность,Высокие риски и ответственность
55983,отдача,Участие и взаимодействие
55983,отдача делу,Личные моменты и преданность
55983,погружение в детали,Разбор сложных задач
55983,погружение в задачу,Разбор сложных задач
55983,поиск возможностей,Достижение целей и желания
55983,поиск инструментов,Работа и поиск решений
55983,помощь,Нравственные ценности и цели
55983,признание,Участие и взаимодействие
55983,принятие всех задач,Разбор сложных задач
55983,участие,Участие и взаимодействие
55983,причастность,Участие и взаимодействие
55983,проактивность,Проявление активности и развитие
55983,проактивный подход,Идеи и мотивация к успеху
55983,работать без проблем,Работа и поиск решений
55983,ради чего,Личные моменты и преданность
55983,развитие,Проявление активности и развитие
55983,самоотдача,Самоотдача и решимость
55983,самоотдача,Самоотдача и решимость
55983,самоотдача на 100%,Самоотдача и решимость
55983,смысл,Нравственные ценности и цели
55983,соревнования,Участие и взаимодействие
55983,старается,Совместные усилия и цель
55983,тяга к развитию,Идеи и мотивация к успеху
55983,уважение,Уважение и сочувствие
55983,успех коллектива,Совместные усилия и цель
55983,целепологание,Нравственные ценности и цели
55983,цель,Нравственные ценности и цели
55983,часть чего-то большого,Высокие риски и ответственность
